Australia/Adelaide,+10:30,+09:30,ACDT,ACST
Australia/Brisbane,+10:00,+10:00,AEST,AEST
Australia/Broken_Hill,+10:30,+09:30,ACDT,ACST
Australia/Canberra,+11:00,+10:00,AEDT,AEST
Australia/Currie,+11:00,+10:00,AEDT,AEST
Australia/Darwin,+09:30,+09:30,ACST,ACST
Australia/Eucla,+08:45,+08:45,ACWST,ACWST
Australia/Hobart,+11:00,+10:00,AEDT,AEST
Australia/LHI,+11:00,+10:30,LHDT,LHST
Australia/Lindeman,+10:00,+10:00,AEST,AEST
Australia/Lord_Howe,+11:00,+10:30,LHDT,LHST
Australia/Melbourne,+11:00,+10:00,AEDT,AEST
Australia/North,+09:30,+09:30,ACST,ACST
Australia/NSW,+11:00,+10:00,AEDT,AEST
Australia/Perth,+08:00,+08:00,AWST,AWST
Australia/Queensland,+10:00,+10:00,AEST,AEST
Australia/South,+10:30,+09:30,ACDT,ACST
Australia/Sydney,+11:00,+10:00,AEDT,AEST
Australia/Tasmania,+11:00,+10:00,AEDT,AEST
Australia/Victoria,+11:00,+10:00,AEDT,AEST
Australia/West,+08:00,+08:00,AWST,AWST
Australia/Yancowinna,+10:30,+09:30,ACDT,ACST
Brazil/Acre,-05:00,-05:00,ACT,ACT
Brazil/DeNoronha,-02:00,-02:00,FNT,FNT
Brazil/EAsT,-03:00,-03:00,BRT,BRT
Brazil/West,-04:00,-04:00,AMT,AMT
Canada/Atlantic,-04:00,-03:00,AsT,ADT
Canada/Central,-06:00,-05:00,CST,CDT
Canada/Eastern,-05:00,-04:00,EST,EDT
Canada/Mountain,-07:00,-06:00,MST,MDT
Canada/Newfoundland,-03:30,-02:30,NST,NDT
Canada/Pacific,-08:00,-07:00,PST,PDT
Canada/Saskatchewan,-06:00,-06:00,CST,CST
Canada/Yukon,-07:00,-07:00,MST,MST
CET,+01:00,+02:00,CET,CEST
Chile/Continental,-03:00,-04:00,CLDT,CLT
Chile/EasterIsland,-05:00,-06:00,EADT,EAsT
CST6CDT,-06:00,-05:00,CST,CDT
Cuba,-05:00,-04:00,CST,CDT
EET,+02:00,+03:00,EET,EEST
